index,population,cityGeo,long,lat
1,13529,თბილისი,41.6935247,44.80150191
2,10152,ქუთაისი,42.271584,42.705359
3,8563,გორი,41.9874329,44.1089577
4,7474,ჭიათურა,42.2910523,43.2866046
5,7246,თელავი,41.918292,45.4746493
6,7225,გურჯაანი,41.7463818,45.7946722
7,6724,სოხუმი,43.0033629,41.0192741
8,6551,ახალქალაქი,41.4079269,43.4839313
9,6408,ხაშური,41.9972652,43.5989395
10,6330,სიღნაღი,41.6184557,45.9220959
11,6281,ცხინვალი,42.2251222,43.9708477
12,5882,ზუგდიდი,42.5112864,41.8779873
14,5518,ბათუმი,41.6509502,41.6360085
15,5509,ზესტაფონი,42.1071766,43.0350696
16,5230,ვანი,42.0851175,42.511975
17,4992,ლაგოდეხი,41.8263247,46.2772162
18,4900,გალი,42.628948,41.737236
19,4849,მახარაძე,41.9230979,42.0059263
20,4366,ამბროლაური,42.5193765,43.1519007
22,4295,ოჩამჩირე,42.7121136,41.4721354
23,4243,ახალციხე,41.6395128,42.9859225
24,4073,ცაგერი,42.6476005,42.7700726
25,4051,სამტრედია,42.1625885,42.3462329
26,4007,ლანჩხუთი,42.0875384,42.0364392
27,3966,გეგეჩკორი,42.4144214,42.3801746
28,3959,დუშეთი,42.0844709,44.6959371
29,3947,ქარელი,42.0216487,43.8935335
30,3906,თეთრიწყარო,41.5427292,44.4625567
31,3852,კასპი,41.9271624,44.4206038
32,3787,ბორჯომი,41.8413282,43.3833782
33,3772,საჩხერე,42.3388168,43.4059465
34,3664,წულუკიძე,42.3245517,42.4221702
35,3624,საგარეჯო,41.7325942,45.3271378
36,3553,აბაშა,42.2049284,42.2033321
38,3342,სენაკი,42.2700635,42.0636013
39,3290,ჩხარი,42.986841,42.251607
40,3236,მაიაკოვსკი,42.0679322,42.8252226
41,3158,გაგრა,43.2858243,40.265008
42,3137,ყვარელი,41.9523697,45.8151463
43,3045,ნინოწმინდა,41.2653488,43.5922017
44,3031,გუდაუთა,43.102487,40.6247105
45,2887,ფოთი,42.141614,41.6748028
46,2857,ლენინგორი,42.1218994,44.4851837
47,2743,ხობი,42.3185298,41.9025799
48,2633,ტყიბული,42.3477177,42.9980769
49,2630,ონი,42.585344,43.4427287
50,2613,მცხეთა,41.846295,44.7195591
51,2593,წყალტუბო,42.3253518,42.5979488
52,2465,დმანისი,41.3310492,44.2041258
54,2219,ქობულეთი,41.8113601,41.7793202
55,2152,კიროვი,42.504336,42.105872
56,2114,ჩხოროწყუ,42.5258474,42.1321257
59,2013,ასპინძა,41.5727921,43.2504979
60,1925,ადიგენი,41.6749791,42.7061207
62,1778,წალკა,41.5953381,44.0914431
63,1633,თიანეთი,42.1099414,44.9678573
64,1603,წალენჯიხა,42.6131131,42.0677958
65,1554,ჯავა,42.3904458,43.9229967
67,1270,გარდაბანი,41.4634822,45.0894299
68,976,ბოლნისის,41.4496898,44.5369857
69,743,მარნეული,41.4797868,44.8072569
70,680,აჭარა,42.069257,41.681233
71,608,ბოლნისი,41.4496898,44.5369857
72,511,ხულო,41.6440251,42.3129496
75,336,ხარაგაული,42.0142892,43.2031255
85,77,ქედა,41.5979339,41.9398463
86,76,ზემო სვანეთი,42.66956,42.868299
91,38,თერჯოლა,42.1811342,42.9769943
61,1872,დედოფლისწყარო,41.4602857,46.0961543
