index,rus,geo,records,lat,lng,eng
1,Тбилисский,თბილისი,13529,44.8015019,41.6935247,
2,Кутаисский,ქუთაისი,10152,42.705359,42.271584,
3,Горийский,გორი,8563,44.1089577,41.9874329,
4,Чиатурский,ჭიათურა,7474,43.2866046,42.2910523,
5,Телавский,თელავი,7246,45.4746493,41.918292,
6,Гурджаанский,გურჯაანი,7225,45.7946722,41.7463818,
7,Сухуми,სოხუმი,6724,41.0192741,43.0033629,
8,Ахалкалакский,ახალქალაქი,6551,43.4839313,41.4079269,
9,Хашурский,ხაშური,6408,43.5989395,41.9972652,
10,Сигнахский,სიღნაღი,6330,45.9220959,41.6184557,
11,Сталинирский,ცხინვალი,6281,43.9708477,42.2251222,
12,Зугдидский,ზუგდიდი,5882,41.8779873,42.5112864,
13,Орджоникидзевский,ორჯონიკიძე,5709,43.03667,44.66778,
14,Батумский,ბათუმი,5518,41.6360085,41.6509502,
15,Зестафонский,ზესტაფონი,5509,43.0350696,42.1071766,
16,Ванский,ვანი,5230,42.511975,42.0851175,
17,Лагодехский,ლაგოდეხი,4992,46.2772162,41.8263247,
18,Гальский,გალი,4900,41.737236,42.628948,
19,Махарадзевский,მახარაძე,4849,42.0059263,41.9230979,
20,Амбролаурский,ამბროლაური,4366,43.1519007,42.5193765,
21,Комиссаров,კომისაროვის,4317,,,
22,Очамчирский,ოჩამჩირე,4295,41.4721354,42.7121136,
23,Ахалцихский,ახალციხე,4243,42.9859225,41.6395128,
24,Цагерский,ცაგერი,4073,42.7700726,42.6476005,
25,Самтредский,სამტრედია,4051,42.3462329,42.1625885,
26,Ланчхутский,ლანჩხუთი,4007,42.0364392,42.0875384,
27,Гегечкорский,გეგეჩკორი,3966,42.3801746,42.4144214,
28,Душетский,დუშეთი,3959,44.6959371,42.0844709,
29,Карельский,ქარელი,3947,43.8935335,42.0216487,
30,Тетрицкаройский,თეთრიწყარო,3906,44.4625567,41.5427292,
31,Каспский,კასპი,3852,44.4206038,41.9271624,
32,Боржомский,ბორჯომი,3787,43.3833782,41.8413282,
33,Сачхерский,საჩხერე,3772,43.4059465,42.3388168,
34,Цулукидзевский,წულუკიძე,3664,42.4221702,42.3245517,
35,Сагареджинский,საგარეჯო,3624,45.3271378,41.7325942,
36,Абашский,აბაშა,3553,42.2033321,42.2049284,
37,Ленинский,ლენინსკი,3519,,,
38,Цхакаевский,სენაკი,3342,42.0636013,42.2700635,
39,Чхарский,ჩხარი,3290,42.251607,42.986841,
40,Маяковский,მაიაკოვსკი,3236,42.8252226,42.0679322,
41,Гагринский,გაგრა,3158,40.265008,43.2858243,
42,Кварельский,ყვარელი,3137,45.8151463,41.9523697,
43,Богдановский,ნინოწმინდა,3045,43.5922017,41.2653488,
44,Гудаутский,გუდაუთა,3031,40.6247105,43.102487,
45,Потийский,ფოთი,2887,41.6748028,42.141614,
46,Ленингорский,ლენინგორი,2857,44.4851837,42.1218994,
47,Хобский,ხობი,2743,41.9025799,42.3185298,
48,Ткибульский,ტყიბული,2633,42.9980769,42.3477177,
49,Онский,ონი,2630,43.4427287,42.585344,
